INSTNM,STABBR,CONTROL,COMPL_RPY_1YR_RT,PCTPELL,COSTT4_A,MD_EARN_WNE_P10,GRAD_DEBT_MDN,COMPL_RPY_3YR_RT,UGDS,PREDDEG,repayment_risk
North-West College-Riverside,CA,3,0.3628318584,0.6236,,39876.0,9500.0,0.410122164,717.0,1,1
Arthur's Beauty College,AR,3,0.5315315315,0.6395,,21954.0,9833.0,0.5575221239,66.0,1,0
Spa Tech Institute-Westboro,MA,3,0.5844155844,0.3415,,27803.0,6333.0,0.6107526882,182.0,1,0
Spa Tech Institute-Plymouth,MA,3,0.5844155844,0.3407,,27803.0,6333.0,0.6107526882,233.0,1,0
Neumont College of Computer Science,UT,3,0.8849557522,0.6226,45890.0,97827.0,,0.8849557522,453.0,3,0
Johnson & Wales University-Charlotte,NC,2,0.7355204536,0.5239,58022.0,43418.0,26000.0,0.8025682183,1184.0,2,0
Roseman University of Health Sciences,NV,2,0.7235023041,0.2834,,120163.0,25000.0,0.7971698113,536.0,3,0
Fortis Institute-Port Saint Lucie,FL,3,0.3254048583,0.7704,31929.0,32886.0,12346.0,0.3447932237,546.0,1,1
Aviation Institute of Maintenance-Manassas,VA,3,0.261682243,0.2751,30992.0,46441.0,31959.0,0.4018691589,272.0,1,1
Universal Technical Institute of Pennsylvania Inc,PA,3,0.5628328009,0.5293,,51222.0,14267.0,0.5864082825,954.0,1,0
Kenneth Shuler School of Cosmetology-Spartanburg,SC,3,0.2582781457,0.658,,25088.0,5858.0,0.3171521036,113.0,1,1
Kenneth Shuler School of Cosmetology-Columbia,SC,3,0.2582781457,0.7483,,25088.0,5858.0,0.3171521036,64.0,1,1
Lincoln Technical Institute-Shelton,CT,3,0.396273737,0.6082,,38683.0,11250.0,0.4479427549,875.0,1,1
Northwest Career College,NV,3,0.4230769231,0.7338,,27530.0,9500.0,0.4658119658,2937.0,1,0
Soma Institute-The National School of Clinical Massage Therapy,IL,3,0.5087719298,0.5934,,32349.0,7916.0,0.5263157895,233.0,1,0
Ave Maria University,FL,2,0.6419753086,0.2104,46129.0,49520.0,20776.0,0.7052023121,1298.0,3,0
Sutter County Career Training Center,CA,1,0.3202846975,0.5909,,34846.0,9500.0,0.359430605,54.0,1,1
Career Care Institute,CA,3,0.3039049236,0.5974,,39888.0,16625.0,0.3394342762,620.0,1,1
ATA Career Education,FL,3,0.253611557,0.9159,32225.0,34577.0,21030.0,0.3102362205,201.0,1,1
Evergreen Beauty and Barber College-Everett,WA,3,0.6378600823,0.4047,,26872.0,7917.0,0.6516393443,1172.0,1,0
Paul Mitchell the School-Great Lakes,MI,3,0.5321637427,0.3434,,16715.0,9667.0,0.5147928994,75.0,1,0
Healthcare Training Institute,NJ,3,0.4502923977,0.3333,,37571.0,8717.0,0.5057471264,48.0,1,0
Los Angeles College of Music,CA,3,0.5714285714,0.2022,49705.0,31758.0,27938.0,0.6206896552,227.0,3,0
SAE Institute of Technology-Nashville,TN,3,0.5041322314,0.6056,29991.0,39544.0,9500.0,0.5762711864,1712.0,1,0
Southern Technical College,FL,3,0.1575342466,0.6617,,29893.0,11250.0,0.2274774775,1875.0,1,1
Stanbridge University,CA,3,0.5415896488,0.6119,,62144.0,20000.0,0.6093189964,2643.0,2,0
Harrisburg University of Science and Technology,PA,2,0.5483870968,0.4735,35893.0,52374.0,27000.0,0.59375,615.0,3,0
Blue Ridge Community and Technical College,WV,1,0.3925,0.2038,11522.0,39293.0,13000.0,0.4295774648,1661.0,2,1
Daytona College,FL,3,0.2351097179,0.5915,,26422.0,7403.0,0.2715654952,191.0,1,1
Delta Technical College-Mississippi,MS,3,0.3142108328,0.8548,,33601.0,9500.0,0.3136231884,2307.0,1,1
United States University,CA,3,0.5047619048,0.1573,,80980.0,15244.0,0.5391304348,153.0,1,0
Empire Beauty School-Avondale,AZ,3,0.2649769585,0.5903,,23589.0,10231.0,0.2970521542,236.0,1,1
Empire Beauty School-Littleton,CO,3,0.2938931298,0.4444,,24022.0,10667.0,0.324691358,48.0,1,1
Empire Beauty School-Aurora,CO,3,0.2938931298,0.5693,,24022.0,10667.0,0.324691358,70.0,1,1
Joyce University of Nursing and Health Sciences,UT,3,0.4375,0.7024,30016.0,49841.0,20000.0,0.5106035889,2058.0,2,0
San Joaquin Valley College-Modesto,CA,3,0.3000723066,0.5937,,38317.0,10674.0,0.3603716277,598.0,1,1
Eagle Gate College-Layton,UT,3,0.2874109264,0.3764,,37518.0,43021.0,0.3806146572,226.0,3,1
Unitech Training Academy-West Monroe,LA,3,0.5267175573,0.7769,,24707.0,8721.0,0.4593147752,81.0,1,0
New River Community and Technical College,WV,1,0.3146067416,0.3899,12132.0,29073.0,7250.0,0.4375,770.0,2,1
The College of Health Care Professions-Southwest Houston,TX,3,0.3626062323,0.7132,,33070.0,9500.0,0.3923578751,681.0,1,1
UEI College-Chula Vista,CA,3,0.2392897866,0.7016,,31141.0,9500.0,0.2699100835,1373.0,1,1
UEI College-West Covina,CA,3,0.2392897866,0.6989,,31141.0,9500.0,0.2699100835,978.0,1,1
Georgia Gwinnett College,GA,1,0.539184953,0.5181,22547.0,47730.0,20076.0,0.5816023739,11344.0,3,0
Tucson College of Beauty,AZ,3,0.3518518519,0.4711,,27314.0,6333.0,0.4038461538,144.0,1,1
National Polytechnic College,CA,3,0.2941176471,0.5132,,30781.0,16098.0,0.2991071429,516.0,2,1
American Career College-Ontario,CA,3,0.2936170213,0.6365,,38492.0,9500.0,0.3287259615,2242.0,1,1
Asher College,CA,3,0.5820433437,0.5609,,45468.0,14166.0,0.6067073171,649.0,2,0
Blake Austin College,CA,3,0.4817708333,0.5982,,42518.0,10249.0,0.53125,217.0,1,0
American Institute of Beauty,FL,3,0.1581395349,0.7304,,20371.0,6333.0,0.2385321101,151.0,1,1
North Florida Cosmetology Institute,FL,3,0.1158536585,0.7305,,23615.0,6334.0,0.1677018634,91.0,1,1
ATA College,KY,3,0.253611557,0.8368,31920.0,34577.0,21030.0,0.3102362205,363.0,2,1
SUM Bible College and Theological Seminary,CA,2,0.2987012987,0.4465,24956.0,35418.0,26677.0,0.3513513514,198.0,3,1
Compass Career College,LA,3,0.641509434,0.8247,,21175.0,7917.0,0.625,194.0,1,0
Hair Expressions Academy,MD,3,0.5153846154,0.2593,,35225.0,9500.0,0.5793650794,38.0,1,0
WellSpring School of Allied Health-Kansas City,MO,3,0.546875,0.898,,29839.0,7917.0,0.5736434109,208.0,1,0
The Salon Professional Academy-Fargo,ND,3,0.6590909091,0.2823,,31497.0,12000.0,0.7222222222,95.0,1,0
Aveda Arts & Sciences Institute-New York,NY,3,0.5611285266,0.4621,,28013.0,6129.0,0.5515151515,293.0,1,0
Texas Health School,TX,3,0.4333333333,0.6051,,30187.0,10915.0,0.4671052632,192.0,1,0
Avi Career Training,VA,3,0.5862068966,0.75,,28615.0,6333.0,0.6206896552,22.0,1,0
Mountain State School of Massage,WV,3,0.4230769231,0.9091,,27545.0,,0.3928571429,32.0,1,0
San Joaquin Valley College-Rancho Cordova,CA,3,0.3000723066,0.4006,,38317.0,10674.0,0.3603716277,224.0,2,1
Broken Arrow Beauty College,OK,3,0.4497354497,0.562,,23722.0,6333.0,0.453125,71.0,1,0
Universal Technical Institute of Northern California Inc,CA,3,0.4298325723,0.5665,,48341.0,13097.0,0.4732454146,1214.0,2,0
Lemoore College,CA,1,0.2631578947,0.432,21457.0,40292.0,9500.0,0.35,3373.0,2,1
Stautzenberger College-Brecksville,OH,3,0.281124498,0.6327,29518.0,34104.0,14302.0,0.3162729659,62.0,2,1
Unitech Training Academy-Houma,LA,3,0.5267175573,0.8193,,24707.0,8721.0,0.4593147752,47.0,1,0
Rasmussen University-Illinois,IL,3,0.4100835805,0.6194,27601.0,39080.0,20899.0,0.4774930288,1145.0,2,0
Automotive Training Center-Warminster,PA,3,0.628742515,0.5648,,51112.0,15665.0,0.654,302.0,1,0
Empire Beauty School-Milwaukee,WI,3,0.2649769585,0.6566,,23589.0,10231.0,0.2970521542,111.0,1,1
Triangle Tech Inc-Bethlehem,PA,3,0.668989547,0.6632,31485.0,53788.0,12000.0,0.7027972028,43.0,2,0
Milan Institute-Clovis,CA,3,0.2833333333,0.6998,,24879.0,6333.0,0.3090010977,560.0,1,1
Strayer University-Florida,FL,3,0.3378640777,0.7869,25158.0,40092.0,40621.0,0.4244974287,1107.0,3,1
Pima Medical Institute-Renton,WA,3,0.4734714004,0.3676,,38673.0,9500.0,0.5043520309,456.0,1,0
CBT Technology Institute-Main Campus,FL,3,0.4469835466,0.9181,24550.0,29534.0,8550.0,0.4810126582,508.0,1,0
CBT Technology Institute-Hialeah,FL,3,0.4469835466,0.7911,17988.0,29534.0,8550.0,0.4810126582,547.0,1,0
The College of Health Care Professions-San Antonio,TX,3,0.3626062323,0.6326,,33070.0,9500.0,0.3923578751,766.0,1,1
Brittany Beauty Academy,NY,3,0.4360189573,0.61,,18753.0,6333.0,0.4547619048,136.0,1,0
Lincoln Technical Institute-Whitestone,NY,3,0.4795890031,0.7276,,46396.0,11730.0,0.4979276043,1131.0,1,0
American Public University System,WV,3,0.5643979058,0.2455,18768.0,44409.0,21743.0,0.5961727184,40074.0,3,0
Beaumont Adult School,CA,1,0.3142857143,0.7328,,50801.0,14866.0,0.3815789474,108.0,1,1
Academy of Natural Therapy Inc,CO,3,0.4545454545,0.6508,,25770.0,7917.0,0.4642857143,13.0,1,0
Academy Di Capelli-School of Cosmetology,CT,3,0.35,0.5376,,,6333.0,0.3898305085,402.0,1,1
Delaware Learning Institute of Cosmetology,DE,3,0.5492957746,0.4323,,23718.0,6333.0,0.6231884058,81.0,1,0
Palm Beach Academy of Health & Beauty,FL,3,0.5137614679,0.6132,,30784.0,9500.0,0.5357142857,63.0,1,0
SABER College,FL,2,0.33203125,0.8915,,40816.0,22000.0,0.3940520446,482.0,2,1
Taylor College,FL,3,0.4627659574,0.7578,27241.0,60311.0,26250.0,0.4564102564,308.0,2,0
Denmark College,IN,3,0.2925170068,0.6398,,23538.0,8965.0,0.3150684932,175.0,1,1
Louisiana Culinary Institute,LA,3,0.7211538462,0.3889,30162.0,40359.0,16200.0,0.6380952381,77.0,2,0
Dayton School of Medical Massage,OH,3,0.404293381,0.9294,33911.0,31071.0,13432.0,0.4586330935,376.0,1,1
Visible Music College,TN,2,0.7179487179,0.4881,31820.0,35933.0,9500.0,,79.0,3,0
CCI Training Center-Arlington,TX,3,0.2857142857,0.8505,,40829.0,8045.0,0.2678571429,305.0,1,1
Southeast Texas Career Institute,TX,3,0.4516129032,0.3776,,24835.0,5500.0,0.453125,75.0,1,0
South University-Tampa,FL,3,0.3869922751,0.4897,30414.0,34421.0,26123.0,0.4526239067,388.0,3,1
Milan Institute of Cosmetology-San Antonio Military,TX,3,0.2522796353,0.6995,,22378.0,6333.0,0.2939759036,225.0,1,1
Paul Mitchell the School-Tampa,FL,3,0.447144593,0.4869,,26897.0,13000.0,0.4764207981,106.0,1,0
Paul Mitchell the School-San Diego,CA,3,0.447144593,0.2798,,26897.0,13000.0,0.4764207981,225.0,1,0
Paul Mitchell the School-Michigan,MI,3,0.447144593,0.3816,,26897.0,13000.0,0.4764207981,136.0,1,0
Paul Mitchell the School-Sherman Oaks,CA,3,0.5536480687,0.5961,,26262.0,10556.0,0.6025641026,286.0,1,0
Paul Mitchell the School-Tysons Corner,VA,3,0.4565217391,,,34949.0,13000.0,0.4556574924,0.0,1,0
Fortis College-Columbus,OH,3,0.2366679642,0.7343,34877.0,36368.0,12547.0,0.2979047619,766.0,1,1
Fortis College-Cincinnati,OH,3,0.2366679642,0.8175,36925.0,36368.0,12547.0,0.2979047619,500.0,1,1
Blue Cliff College-Alexandria,LA,3,0.4965277778,0.7985,,22177.0,9500.0,0.4272260274,345.0,1,0
Strayer University-Delaware,DE,3,0.3378640777,0.6958,25158.0,40092.0,40621.0,0.4244974287,161.0,3,1
Brite Divinity School,TX,2,0.7952415285,,,68424.0,21500.0,0.8313422347,,4,0
Strayer University-Alabama,AL,3,0.3378640777,0.852,,40092.0,40621.0,0.4244974287,1196.0,3,1
Brown Aveda Institute-Strongsville,OH,3,0.5480427046,0.5106,,27446.0,7267.0,0.5770609319,121.0,1,0
Clary Sage College,OK,2,0.4268907563,0.6467,,28954.0,8898.0,0.3975,415.0,1,0
Rasmussen University-Wisconsin,WI,3,0.4100835805,0.5342,,39080.0,20899.0,0.4774930288,55.0,2,0
Empire Beauty School-Richmond,VA,3,0.3591269841,0.5887,,23921.0,10667.0,0.3861386139,77.0,1,1
Empire Beauty School-North Hills,PA,3,0.2897727273,0.7203,,22377.0,10667.0,0.3290203327,83.0,1,1
Empire Beauty School-Concord,NC,3,0.33632287,0.6906,,23925.0,13000.0,0.3449781659,110.0,1,1
Lexington Healing Arts Academy,KY,3,0.4747474747,0.4354,,33193.0,7600.0,0.5050505051,78.0,1,0
Empire Beauty School-Hooksett,NH,3,0.3935483871,0.3083,,33546.0,7942.0,0.3836477987,306.0,1,1
The Institute of Beauty and Wellness,WI,3,0.535,0.5372,,31723.0,6333.0,0.5615763547,186.0,1,0
Carrington College-Stockton,CA,3,0.395157385,0.6429,,39633.0,11537.0,0.4541557514,436.0,1,1
Trend Barber College,TX,3,0.1181818182,0.7554,,16575.0,12794.0,,61.0,1,1
Euphoria Institute of Beauty Arts & Sciences-Summerlin,NV,3,0.3156558533,0.6605,,31914.0,10521.0,0.3555740895,414.0,1,1
Columbia Southern University,AL,3,0.519379845,0.2419,18226.0,63534.0,21339.0,0.5876451954,12176.0,3,0
Academy of Massage and Bodywork,DE,3,0.5490196078,0.4491,,31204.0,6333.0,0.62,81.0,1,0
Academy of Career Training,FL,3,0.4900662252,0.2194,,22029.0,6105.0,0.4903225806,100.0,1,0
Miami Regional University,FL,3,0.7351694915,0.3091,,29081.0,22500.0,0.75,312.0,3,0
Aveda Institute-South Florida,FL,3,0.4054404145,0.3128,,29426.0,6333.0,0.4338896021,923.0,1,0
Aveda Institute-Tallahassee,FL,3,0.4135021097,0.1896,,29449.0,6333.0,0.4513457557,620.0,1,0
MyComputerCareer at Indianapolis,IN,3,0.4705882353,0.5936,,41976.0,9500.0,0.4545454545,1144.0,1,0
Elevate Salon Institute,MI,3,0.1882352941,0.1944,,16853.0,6333.0,0.2071005917,197.0,1,1
Southeastern College-Charlotte,NC,3,0.2962184874,0.7143,38136.0,31548.0,9500.0,0.3382663848,252.0,1,1
Center for Allied Health Education,NY,3,0.6273291925,0.4098,,107249.0,13626.0,0.6666666667,437.0,1,0
Aveda Fredric's Institute-Cincinnati,OH,3,0.5222929936,0.4866,,30468.0,7917.0,0.5632911392,453.0,1,0
MyComputerCareer at Columbus,OH,3,0.5746268657,0.3085,,43409.0,9500.0,0.5839416058,821.0,1,0
Elite College of Cosmetology,TN,3,0.4318181818,0.6588,,21197.0,5500.0,0.5,53.0,1,0
Southwest University at El Paso,TX,3,0.1985370951,0.8219,23987.0,29648.0,20000.0,0.2137096774,2073.0,2,1
Paul Mitchell the School-Austin,TX,3,0.4233576642,0.4611,,23721.0,7917.0,0.4748201439,171.0,1,0
Aveda Institute-Provo,UT,3,0.593495935,0.2278,,20414.0,7666.0,0.6746031746,164.0,1,0
Victoria's Academy of Cosmetology,WA,3,0.5432098765,0.514,,24668.0,7830.0,0.55,34.0,1,0
Paul Mitchell the School-San Antonio,TX,3,0.4456035768,0.4545,,28693.0,8505.0,0.5074183976,361.0,1,0
Bryant & Stratton College-Wauwatosa,WI,2,0.24356324,0.6096,26292.0,32568.0,21549.0,0.3042521994,1037.0,2,1
Remington College-Houston Southeast Campus,TX,2,0.2807665666,0.7846,26339.0,31349.0,13271.0,0.3077625571,111.0,1,1
Remington College-Shreveport Campus,LA,2,0.2807665666,0.9357,37279.0,31349.0,13271.0,0.3077625571,315.0,1,1
TC Beauty,TN,3,0.3369565217,0.2513,,21153.0,7917.0,0.3510638298,100.0,1,1
Ross Medical Education Center-New Baltimore,MI,3,0.3048180924,0.6271,,30481.0,9500.0,0.3288069835,33.0,1,1
Ross College-Sylvania,OH,3,0.3137955683,0.752,,29898.0,9500.0,0.3475177305,1714.0,1,1
Fortis Institute-Nashville,TN,3,0.3254048583,0.75,35598.0,32886.0,12346.0,0.3447932237,393.0,1,1
ATA College-Cincinnati,OH,3,0.253611557,0.8295,29920.0,34577.0,21030.0,0.3102362205,266.0,2,1
Galen College of Nursing-Cincinnati,OH,3,0.4081081081,0.5776,34842.0,61480.0,24166.0,0.4614711033,645.0,2,0
Strayer University-North Carolina,NC,3,0.3378640777,0.8229,,40092.0,40621.0,0.4244974287,2671.0,3,1
Strayer University-New Jersey,NJ,3,0.3378640777,0.6803,,40092.0,40621.0,0.4244974287,702.0,3,1
Ohio Media School-Columbus,OH,3,0.3275434243,0.7483,,37423.0,9500.0,0.3523573201,43.0,1,1
Chamberlain University-Illinois,IL,3,0.622781457,0.3328,40826.0,92405.0,20919.0,0.6646356943,14027.0,3,0
Chamberlain University-Ohio,OH,3,0.622781457,0.5,42634.0,92405.0,20919.0,0.6646356943,257.0,3,0
Chamberlain University-Arizona,AZ,3,0.622781457,0.4685,45594.0,92405.0,20919.0,0.6646356943,693.0,3,0
The Salon Professional Academy-Appleton,WI,3,0.462962963,0.3594,,32317.0,9991.0,0.5185185185,81.0,1,0
Milan Institute of Cosmetology-Vacaville,CA,3,0.2522796353,0.6699,,22378.0,6333.0,0.2939759036,260.0,1,1
Milan Institute of Cosmetology-Reno,NV,3,0.2522796353,0.5787,,22378.0,6333.0,0.2939759036,235.0,1,1
Ottawa University-Online,KS,2,0.5584218513,0.3389,,55552.0,21500.0,0.6164179104,259.0,3,0
Paul Mitchell the School-Esani,GA,3,0.4886877828,0.5381,,26287.0,9833.0,0.5227272727,359.0,1,0
Paul Mitchell the School-Birmingham,AL,3,0.3333333333,0.5063,,24367.0,9833.0,0.4132231405,129.0,1,1
Mayfield College,CA,3,0.3200934579,0.9579,,29384.0,9025.0,0.3123543124,292.0,1,1
Paul Mitchell the School-Pasadena,CA,3,0.4679487179,0.4232,,25845.0,6333.0,0.4936708861,170.0,1,0
San Francisco Institute of Esthetics & Cosmetology Inc,CA,3,0.6053811659,0.406,,32926.0,6333.0,0.625,167.0,1,0
Laurus College,CA,3,0.3967741935,0.6727,,30896.0,32416.0,0.4061538462,1116.0,2,1
Auguste Escoffier School of Culinary Arts-Boulder,CO,3,0.6045627376,0.5929,,32001.0,9653.0,0.6444444444,8504.0,2,0
Denver College of Nursing,CO,3,0.7445414847,0.2743,,81809.0,26500.0,0.8012958963,757.0,3,0
Cambridge College of Healthcare & Technology,FL,3,0.3594771242,0.6278,28227.0,47792.0,26250.0,0.4473684211,1315.0,2,1
Celebrity School of Beauty,FL,3,0.763546798,0.6422,,15626.0,6333.0,0.7142857143,855.0,1,0
Paul Mitchell the School-Atlanta,GA,3,0.3317535545,0.5612,,21775.0,12500.0,0.3254716981,249.0,1,1
Paul Mitchell the School-Rexburg,ID,3,0.5769230769,0.4827,,26774.0,9500.0,0.5566037736,224.0,1,0
Tricoci University of Beauty Culture-Chicago NW,IL,3,0.4010152284,0.6134,,28554.0,7307.0,0.4158415842,216.0,1,1
Tricoci University of Beauty Culture-Rockford,IL,3,0.4620689655,0.6074,,25109.0,7307.0,,170.0,1,0
Healing Arts Center,MO,3,0.4683544304,0.5266,,36447.0,6365.0,0.45,113.0,1,0
Paul Mitchell the School-Springfield,MO,3,0.4881889764,0.5464,,25931.0,7917.0,0.4885496183,297.0,1,0
College of Western Idaho,ID,1,0.5112540193,0.2225,13121.0,,9720.0,0.5655976676,6459.0,2,0
Aveda Institute-Chapel Hill,NC,3,0.4744897959,0.4527,,26873.0,6333.0,0.472361809,198.0,1,0
Jersey College,NJ,3,0.3364750236,0.576,,66087.0,21000.0,0.4094269871,4478.0,2,1
American Institute of Medical Sciences & Education,NJ,3,0.5393258427,0.2085,,40407.0,11995.0,0.6129032258,450.0,1,0
Aveda Institute-Columbus,OH,3,0.3849372385,0.53,,30231.0,6333.0,0.436440678,290.0,1,1
Paul Mitchell the School-Cincinnati,OH,3,0.396039604,0.4722,,28363.0,12500.0,0.447761194,246.0,1,1
Hands on Therapy,TX,3,0.2857142857,0.3976,,28323.0,7917.0,0.3469387755,28.0,1,1
MediaTech Institute-Dallas,TX,3,0.4545454545,0.5249,,33293.0,20000.0,0.454887218,199.0,2,0
Aveda Arts & Sciences Institute-San Antonio,TX,3,0.3936651584,0.4606,,32162.0,7916.0,0.4035087719,250.0,1,1
Skin Science Institute,UT,3,0.58,0.0844,,27153.0,7667.0,0.6470588235,127.0,1,0
Fortis College-Dothan,AL,3,0.2421052632,0.8523,,32754.0,9500.0,0.2724935733,177.0,1,1
Fortis Institute-Pensacola,FL,3,0.2217438105,0.7104,35294.0,26652.0,9500.0,0.2645502646,760.0,1,1
Fortis College-Montgomery,AL,3,0.2217438105,0.8693,,26652.0,9500.0,0.2645502646,359.0,1,1
Fortis Institute-Birmingham,AL,3,0.3254048583,0.8099,32927.0,32886.0,12346.0,0.3447932237,613.0,1,1
Studio Academy of Beauty,AZ,3,0.3102040816,0.7993,,27201.0,6221.0,0.3510204082,570.0,1,1
California Nurses Educational Institute,CA,3,0.393258427,0.5692,,46895.0,16941.0,0.4235294118,200.0,1,1
Paul Mitchell the School-Sacramento,CA,3,0.3846153846,0.5406,,30336.0,6333.0,0.4617834395,309.0,1,1
Oliver Finley Academy of Cosmetology,ID,3,0.3461538462,0.3923,,26323.0,6333.0,0.3904761905,254.0,1,1
The Aveda Institute of Beauty and Wellness Chicago,IL,3,0.4322916667,0.3892,,31369.0,7917.0,0.4766839378,93.0,1,0
Tricoci University of Beauty Culture-Libertyville,IL,3,0.4840764331,0.5318,,35650.0,7307.0,0.5225806452,162.0,1,0
The Temple-A Paul Mitchell Partner School,MD,3,0.5,0.3773,,27891.0,9833.0,0.5588235294,140.0,1,0
Center for Massage,NC,3,0.6428571429,0.2981,,19244.0,6333.0,0.6829268293,51.0,1,0
The Academy of Hair Design LLC,OK,3,0.3235294118,0.5053,,23567.0,16500.0,0.3714285714,56.0,1,1
South Texas Training Center,TX,3,0.4058823529,0.9022,14970.0,29384.0,3677.0,0.44,120.0,1,0
Paul Mitchell the School-Memphis,TN,3,0.4335664336,0.6517,,25306.0,9833.0,0.4184397163,216.0,1,0
Pima Medical Institute-East Valley,AZ,3,0.4734714004,0.3068,,38673.0,9500.0,0.5043520309,306.0,1,0
Paul Mitchell the School-Cleveland,OH,3,0.2834645669,0.6679,,31064.0,9833.0,0.3076923077,181.0,1,1
Paul Mitchell the School-Columbus,OH,3,0.4606060606,0.5222,,37609.0,9833.0,0.5180722892,200.0,1,0
Empire Beauty School-Spring Lake Park,MN,3,0.33632287,0.6269,,23925.0,13000.0,0.3449781659,95.0,1,1
Miller-Motte College-Raleigh,NC,3,0.3793103448,0.8068,,31102.0,15917.0,0.3974763407,409.0,1,1
Lamson Institute,TX,3,0.3652849741,0.5141,,38015.0,7853.0,0.4041450777,498.0,1,1
College of Hair Design-East Campus,NE,3,0.4853556485,0.4417,,28376.0,12000.0,0.5183673469,125.0,1,0
Fortis College-Salt Lake City,UT,3,0.3044496487,0.6005,33657.0,34509.0,13000.0,0.3828306265,383.0,2,1
Polytechnic University of Puerto Rico-Miami,FL,2,0.6327944573,0.7241,,47540.0,22564.0,0.7155963303,19.0,3,0
Polytechnic University of Puerto Rico-Orlando,FL,2,0.6327944573,0.5882,23011.0,47540.0,22564.0,0.7155963303,96.0,3,0
Ross Medical Education Center-Fort Wayne,IN,3,0.3238822246,0.6594,,30072.0,9500.0,0.3530054645,156.0,1,1
Ross Medical Education Center-Battle Creek,MI,3,0.2684845307,0.5952,,30060.0,9500.0,0.3058579575,50.0,1,1
Josef's School of Hair Skin & Body-Fargo,ND,3,0.6509433962,0.391,,27987.0,7917.0,0.6826923077,72.0,1,0
Miller-Motte College-Berks Technical Institute-Allentown,PA,3,0.3793103448,0.6379,,31102.0,15917.0,0.3974763407,285.0,1,1
Salon Success Academy-Fontana,CA,3,0.412462908,0.6792,,22412.0,7177.0,0.4761904762,29.0,1,0
Salon Success Academy-Redlands,CA,3,0.412462908,0.5684,,22412.0,7177.0,0.4761904762,220.0,1,0
Strayer University-West Virginia,WV,3,0.3378640777,0.9098,,40092.0,40621.0,0.4244974287,234.0,3,1
Paul Mitchell the School-Baton Rouge,LA,3,0.6382978723,0.7091,,25699.0,9833.0,0.570212766,249.0,1,0
San Joaquin Valley College-Hesperia,CA,3,0.3000723066,0.7486,,38317.0,10674.0,0.3603716277,528.0,1,1
South Texas Vocational Technical Institute-Brownsville,TX,3,0.3793103448,0.7571,,31102.0,15917.0,0.3974763407,423.0,1,1
Miller-Motte College-STVT-Corpus Christi,TX,3,0.3793103448,0.827,,31102.0,15917.0,0.3974763407,533.0,1,1
University of Minnesota-Rochester,MN,1,0.7897538257,0.3605,28904.0,69020.0,19500.0,0.8189108783,568.0,3,0
CBT Technology Institute-Cutler Bay,FL,3,0.4469835466,0.8206,24770.0,29534.0,8550.0,0.4810126582,326.0,1,0
Milan Institute-Bakersfield,CA,3,0.2833333333,0.7004,,24879.0,6333.0,0.3090010977,582.0,1,1
Carrington College-Las Vegas,NV,3,0.343937575,0.6169,,36718.0,9500.0,0.3799464445,396.0,2,1
Carrington College-Reno,NV,3,0.4829545455,0.3833,,43731.0,15188.0,0.5222717149,551.0,2,0
Chamberlain University-Florida,FL,3,0.622781457,0.5423,37182.0,92405.0,20919.0,0.6646356943,821.0,3,0
Washington Barber College Inc,AR,3,0.5641025641,1.0,,8579.0,14000.0,,43.0,1,0
InterCoast Colleges-Rancho Cordova,CA,3,0.2176801226,0.6786,,36089.0,10313.0,0.278506559,71.0,1,1
Angeles College,CA,3,0.4166666667,0.4797,,49108.0,16522.0,0.5473684211,598.0,1,0
Angeles Institute,CA,3,0.3977272727,0.6234,,61195.0,17238.0,0.4662921348,113.0,1,1
Paul Mitchell the School-Temecula,CA,3,0.451048951,0.5331,,22452.0,12858.0,0.4912891986,320.0,1,0
American Academy of Cosmetology,FL,3,0.2452830189,0.6275,,23985.0,7638.0,,122.0,1,1
Summit Salon Academy,FL,3,0.4453781513,0.4294,,27037.0,7389.0,0.4491525424,183.0,1,0
Tenaj Salon Institute,FL,3,0.2541436464,0.5849,,25196.0,13000.0,0.2950819672,55.0,1,1
Keune Academy by 124,GA,3,0.4722222222,0.4085,,30962.0,9833.0,0.4722222222,117.0,1,0
Ambria College of Nursing,IL,3,0.6641791045,0.4366,,67290.0,15438.0,0.6911764706,123.0,2,0
Midwestern Career College,IL,3,0.2820512821,0.4252,,36432.0,7521.0,0.3607594937,887.0,2,1
Eric Fisher Academy,KS,3,0.4308510638,0.4495,,32858.0,9339.0,0.4787234043,161.0,1,0
National Career Institute,NJ,3,0.0769230769,0.5852,,26415.0,6756.0,0.0913978495,249.0,1,1
International Academy of Style,NV,3,0.5930232558,0.6409,,32709.0,6333.0,0.5697674419,89.0,1,0
New York Medical Career Training Center,NY,3,0.61875,0.2767,,40540.0,14282.0,0.630952381,452.0,1,0
Institute of Culinary Education,NY,3,0.7170542636,0.239,,47865.0,6439.0,0.7945736434,589.0,1,0
The Salon Professional Academy-Tonawanda,NY,3,0.5555555556,0.369,,26460.0,6333.0,0.5322580645,142.0,1,0
Paul Mitchell the School-NYC,NY,3,0.4962406015,0.314,,32002.0,7614.0,0.5038167939,96.0,1,0
Somerset County Technology Center,PA,1,0.5365853659,0.3,,37558.0,,0.4761904762,59.0,1,0
Metro Beauty Academy,PA,3,0.52,0.1647,,33859.0,8028.0,0.5476190476,197.0,1,0
Love Beauty School Inc,TN,3,0.2727272727,0.5625,,18056.0,7917.0,0.3181818182,75.0,1,1
